"company","percentage_laid_off"
"POLLEN","1.00"
"DUX EDUCATION","1.00"
"KANDELA","1.00"
"SERVICE","1.00"
"HELP.COM","1.00"
"POPIN","1.00"
"LOCOMATION","1.00"
"EJENTO","1.00"
"SERVICE","1.00"
"FIPOLA","1.00"
"FAZE MEDICINES","1.00"
"KITE","1.00"
"WAVELY","1.00"
"DELIVEROO AUSTRALIA","1.00"
"PROTOCOL","1.00"
"CONSIDER.CO","1.00"
"HOOQ","1.00"
"AMPLERO","1.00"
"EMX DIGITAL","1.00"
"THE MODIST","1.00"
"ATSU","1.00"
"PURSE","1.00"
"WETRADE","1.00"
"MOTIF INVESTING","1.00"
"STOQO","1.00"
"MEDLY","1.00"
"OPENPAY","1.00"
"PICOBREW","1.00"
"AUTOMATIC","1.00"
"AIRY ROOMS","1.00"
"JUMP","1.00"
"WEFIT","1.00"
"DELIV","1.00"
"MASSE","1.00"
"MODE GLOBAL","1.00"
"DOTSCIENCE","1.00"
"STAY ALFRED","1.00"
"BLUPRINT","1.00"
"STOCKWELL AI","1.00"
"DARK","1.00"
"ENGINE ECOMMERCE","1.00"
"SORABEL","1.00"
"BUY.COM / RAKUTEN","1.00"
"EARTH RIDES","1.00"
"EATSY","1.00"
"LUMINA NETWORKS","1.00"
"AWOK","1.00"
"HUBHAUS","1.00"
"QUIBI","1.00"
"BRITISHVOLT","1.00"
"RUBICA","1.00"
"BRIDGE CONNECTOR","1.00"
"SIMPLE","1.00"
"AURA FINANCIAL","1.00"
"POCKETMATH","1.00"
"ARCH ONCOLOGY","1.00"
"HUBBA","1.00"
"LIMELIGHT","1.00"
"MADEFIRE","1.00"
"KATERRA","1.00"
"TUTORMUNDI","1.00"
"OZY MEDIA","1.00"
"FAST","1.00"
"LANTERN","1.00"
"AHEAD","1.00"
"HALCYON HEALTH","1.00"
"SEND","1.00"
"SUBSPACE","1.00"
"BEYONDMINDS","1.00"
"UDAYY","1.00"
"KAODIM","1.00"
"THE GROMMET","1.00"
"WYRE","1.00"
"JETCLOSING","1.00"
"SUMMERBIO","1.00"
"SUPERLEARN","1.00"
"KUNE","1.00"
"YOURGROCER","1.00"
"VOLT BANK","1.00"
"GAVELYTICS","1.00"
"CREJO.FUN","1.00"
"WANDERJAUNT","1.00"
"BUTLER HOSPITALITY","1.00"
"AIRLIFT","1.00"
"BRODMANN17","1.00"
"DIGITAL SURGE","1.00"
"SOLUTO","1.00"
"YABONZA","1.00"
"METIGY","1.00"
"PERCEPTIVE AUTOMATA","1.00"
"HAUS","1.00"
"NIRVANA MONEY","1.00"
"LORA DICARLO","1.00"
"EDMODO","1.00"
"SHOPX","1.00"
"REALI","1.00"
"THE WING","1.00"
"SIMPLE FEAST","1.00"
"LIDO LEARNING","1.00"
"COMMONBOND","1.00"
"BITFRONT","1.00"
"PROPZY","1.00"
"KITTY HAWK","1.00"
"PESTO","1.00"
"PASTEL","1.00"
"BLOCKFI","1.00"
"PLAYDOTS","1.00"
"ASSURE","1.00"
"GOODGOOD","1.00"
"QIN1","1.00"
"GLORIFI","1.00"
"FLUX SYSTEMS","1.00"
